name,path,nlayer,nE,nnu,nborder,type,ndim,nnode,ndb,ntrain,nval,ntest,nrand,aE,bE,anu,bnu,aborder,bborder,fE,fnu,fborder
FF16_0520,/nlayer_3/ndim_3/FF/FF16_0520,3,3,0,0,FF,3,16,15096,4096,1000,10000,11000,"[0.5, 0.5, 0.5]","[2.0, 2.0, 2.0]","[0.3, 0.3, 0.3]","[0.3, 0.3, 0.3]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]"
FF16_0250,/nlayer_3/ndim_3/FF/FF16_0250,3,3,0,0,FF,3,16,15096,4096,1000,10000,11000,"[0.2, 0.2, 0.2]","[5.0, 5.0, 5.0]","[0.3, 0.3, 0.3]","[0.3, 0.3, 0.3]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]"
LH4000_0250,/nlayer_3/ndim_3/LH/LH4000_0250,3,3,0,0,LH,3,4000,15000,4000,1000,10000,11000,"[0.2, 0.2, 0.2]","[5.0, 5.0, 5.0]","[0.3, 0.3, 0.3]","[0.3, 0.3, 0.3]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]"
LH10000_0250_0304,/nlayer_3/ndim_6/LH/LH10000_0250_0304,3,3,3,0,LH,6,10000,21000,10000,1000,10000,11000,"[0.2, 0.2, 0.2]","[5.0, 5.0, 5.0]","[0.3, 0.3, 0.3]","[0.4, 0.4, 0.4]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[1, 1, 1]","[0, 0, 0]"
LH10000_0250_0203,/nlayer_3/ndim_6/LH/LH10000_0250_0203,3,3,3,0,LH,6,10000,21000,10000,1000,10000,11000,"[0.2, 0.2, 0.2]","[5.0, 5.0, 5.0]","[0.2, 0.2, 0.2]","[0.3, 0.3, 0.3]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[1, 1, 1]","[0, 0, 0]"
LH4000_0520,/nlayer_3/ndim_3/LH/LH4000_0520,3,3,0,0,LH,3,4000,15000,4000,1000,10000,11000,"[0.5, 0.5, 0.5]","[2.0, 2.0, 2.0]","[0.3, 0.3, 0.3]","[0.3, 0.3, 0.3]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]"
LH12000_0250,/nlayer_3/ndim_3/LH/LH12000_0250,3,3,0,0,LH,3,12000,31000,12000,4000,15000,19000,"[0.2, 0.2, 0.2]","[5.0, 5.0, 5.0]","[0.3, 0.3, 0.3]","[0.3, 0.3, 0.3]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]"
LH20_0250,/nlayer_3/ndim_3/LH/LH20_0250,3,3,0,0,LH,3,20000,39000,20000,4000,15000,19000,"[0.2, 0.2, 0.2]","[5.0, 5.0, 5.0]","[0.3, 0.3, 0.3]","[0.3, 0.3, 0.3]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]"
LH30_0250,/nlayer_3/ndim_3/LH/LH30_0250,3,3,0,0,LH,3,30000,55000,30000,10000,15000,25000,"[0.2, 0.2, 0.2]","[5.0, 5.0, 5.0]","[0.3, 0.3, 0.3]","[0.3, 0.3, 0.3]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]"
LH20_0520_0304,/nlayer_3/ndim_6/LH/LH20_0520_0304,3,3,3,0,LH,6,20000,45000,20000,10000,15000,25000,"[0.5, 0.5, 0.5]","[2.0, 2.0, 2.0]","[0.3, 0.3, 0.3]","[0.4, 0.4, 0.4]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[1, 1, 1]","[0, 0, 0]"
LH30_0520_0304,/nlayer_3/ndim_6/LH/LH30_0520_0304,3,3,3,0,LH,6,30000,55000,30000,10000,15000,25000,"[0.5, 0.5, 0.5]","[2.0, 2.0, 2.0]","[0.3, 0.3, 0.3]","[0.4, 0.4, 0.4]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[1, 1, 1]","[0, 0, 0]"
LH50_0520_0104,/nlayer_3/ndim_6/LH/LH50_0520_0104,3,3,3,0,LH,6,50000,80000,50000,10000,20000,30000,"[0.5, 0.5, 0.5]","[2.0, 2.0, 2.0]","[0.1, 0.1, 0.1]","[0.4, 0.4, 0.4]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[1, 1, 1]","[0, 0, 0]"
LH60_0520_0304,/nlayer_3/ndim_6/LH/LH60_0520_0304,3,3,3,0,LH,6,60000,90000,60000,10000,20000,30000,"[0.5, 0.5, 0.5]","[2.0, 2.0, 2.0]","[0.3, 0.3, 0.3]","[0.4, 0.4, 0.4]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[1, 1, 1]","[0, 0, 0]"
LH100_0520_0304,/nlayer_3/ndim_6/LH/LH100_0520_0304,3,3,3,0,LH,6,100000,130000,100000,10000,20000,30000,"[0.5, 0.5, 0.5]","[2.0, 2.0, 2.0]","[0.3, 0.3, 0.3]","[0.4, 0.4, 0.4]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[1, 1, 1]","[0, 0, 0]"
LH100_0520_0104,/nlayer_3/ndim_6/LH/LH100_0520_0104,3,3,3,0,LH,6,100000,130000,100000,10000,20000,30000,"[0.5, 0.5, 0.5]","[2.0, 2.0, 2.0]","[0.1, 0.1, 0.1]","[0.4, 0.4, 0.4]","[0.33, 0.66, 1.0]","[0.33, 0.66, 1.0]","[1, 1, 1]","[1, 1, 1]","[0, 0, 0]"
